model,step,epoch,standard_precision,standard_recall,standard_f1,standard_exact_match,cluster_precision,cluster_recall,cluster_f1,cluster_exact_match,domain_precision,domain_recall,domain_f1,domain_exact_match,grade_precision,grade_recall,grade_f1,grade_exact_match
zcs2024_8faa/Qwen3-0.6B-Base-building-on-0.6B-f36b03f0-f4d3dce4,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zcs2024_8faa/Qwen3-0.6B-Base-building-on-0.6B-f36b03f0-f4d3dce4,final,2,0.158114,0.1591,0.147545,0.076,0.320133,0.283533,0.290148,0.204,0.374333,0.326833,0.339867,0.26,0.436667,0.390333,0.404667,0.338
zcs2024_8faa/Qwen3-1.7B-Base-building-on-1.7-4d1d1510-11787182,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zcs2024_8faa/Qwen3-1.7B-Base-building-on-1.7-4d1d1510-11787182,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude-opus-4-6-zero-shot,final,final,0.133867,0.452067,0.189641,0.006,0.214607,0.6006,0.287134,0.038,0.243109,0.626333,0.32202,0.048,0.325538,0.667,0.411079,0.086
TF-IDF+LogReg,final,final,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF+LogReg,final,final,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF+LogReg,final,final,0.133,0.1614,0.136795,0.02,0.173,0.2069,0.176371,0.046,0.206,0.253333,0.215933,0.076,0.289,0.374333,0.312333,0.14
SetFit,final,final,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SetFit,final,final,0.194,0.249867,0.204205,0.018,0.286,0.351233,0.297805,0.1,0.326,0.401167,0.341933,0.138,0.397,0.520333,0.431667,0.196
Qwen3-1.7B+synth,final,final,0.226874,0.2405,0.207946,0.094,0.391133,0.350067,0.351533,0.242,0.439667,0.388333,0.399533,0.294,0.504,0.462,0.471933,0.384
Qwen3-0.6B+synth,final,final,0.196275,0.1822,0.177136,0.084,0.350833,0.310033,0.318733,0.224,0.396,0.345667,0.359533,0.268,0.469,0.420333,0.434667,0.358
Qwen3-0.6B+synth-run2,final,final,0.191141,0.1788,0.17309,0.08,0.354833,0.309367,0.32,0.222,0.4,0.346667,0.361533,0.266,0.47,0.422333,0.436,0.358
Qwen3-4B+synth,final,final,0.263557,0.230867,0.231467,0.14,0.3665,0.3209,0.330838,0.246,0.422,0.3695,0.383733,0.294,0.492,0.451,0.462267,0.388
Qwen3-4B+synth,final,final,0.276257,0.243867,0.243626,0.15,0.388833,0.341067,0.350638,0.262,0.449,0.391667,0.4072,0.314,0.516,0.473,0.484933,0.408
Qwen3-4B+synth,final,final,0.286624,0.250533,0.252182,0.156,0.401833,0.349733,0.361638,0.272,0.463,0.402667,0.419867,0.328,0.538,0.491,0.504933,0.428
